user_name,rating,date,review
Christian Monserrate,4,2025-10-10 07:47:17,"It's a great game overall, my biggest complaint is how pay to win the game can be, about 75 percent of the items in the shop are bought with money, which makes it so much easier to level up cards instantly. I don't like about paying for mobile games, so I've always been a free to play user. There's been some challenges against pay to win users, but nothing major if you manage to have good level cards"
Aaron Schneider,4,2025-11-04 04:22:35,I've played this game for about 5 months now and I love it. Compared to other phone games you can actually lose games and learn strategies to build better decks and combos. The only negative thing I have to say about it is it's definitely a pay-to-win game. Players in Arena 10 are spawning champions and spamming op cards that can't be unlocked until 6 arenas later
Radu Codreanu,3,2025-10-16 23:49:47,"Honestly I think the game was in a good spot and still is, but for whatever reason they decided to add... merge tactics (of all things) to it, instead of maybe improving on the clan gameplay? And they locked away the ranked mode which was really fun. One step forward, two steps back. The matchmaking feels better overall though for some time now."
Eluen Rodriguez V.,4,2025-08-19 12:54:08,"I really like most of the changes that the game has made over the years, I just wish that it was more f2p friendly, bring back the season shop, but better, making it easier to get the things the shop had to offer, the evo shards, currencies, cards, it would be nice if they added elite wildcards too, but maybe it's too much to ask. But there's a lot of potential in that idea, bringing back the trading tokens or whatever, I think it would make everyone happy."
Preston,4,2025-08-14 09:29:41,"I won't lie, Clash is a great is an amazing game to play. They now have two different gamemodes and they're both pretty fun to play. The only thing I'm not too happy about is the part where they removed the shop, the one that pretty much carried us free to play players in collecting evo's. Now we have to wait for events like this or gotta buy our way through the game."
Timothy Poulos,3,2025-09-25 07:00:28,As a free to play player with 8+ years I've seen this game change and grow. All the good stuff and the bad. It's a better state now then it was a few years ago. Some things are still not balanced but things have been shaping up recently. The competitive nature of the game feels lacking with no incentive to play ranked. As of recently they changed trophyroad and ranked once more linking the two. Hitting 15000 unlocks ranked and resets at the end of the season to 12000 which is a horrible change.
Sky Chan,1,2025-08-08 21:40:12,After almost 7 years of playing and staying positive. The newest update just spells Pay to Win. For the past few years I always enjoyed Party mode over climbing a ladder with an unbalanced algorithm. Party mode was the only way I earn gold coins to level up to 14. You have taken that away to replace with Pay to Win Party mode. The max amount daily is capped at 1000 which is accomplished in a few rounds. You need to pay to collect double amount with a time limit. Who ask for this update?
Luke Washington,2,2025-07-22 02:01:36,This is one of the best mobile games ever made. No ads. Vertical Gameplay. You can succeed without spending money (for the most part) and most importantly the community aspect of it. but I fear that supercells inability to keep 2v2s in the game makes this app a dumpster fire. I cant enjoy playing w my friends and im forced to face 1v1s against high level players w level 14 cards for some reason. It makes 0 sense why they wouldnt just keep 2v2s in the game. Its so confusing it angers me.
Russell Robinson,3,2025-07-19 20:36:44,"I have been playing this game off and on since 2018, and I wish I could go back to those days. Clan wars is worse, the games have never felt more pay to win than before. I am at level 14 8500+ trophies and I enjoy playing but it is so hard playing against evolutions and level 15s when I am simply miles away from them. Worst part is it takes 3 SEASONS to get the evolution you want for a f2p. Making retro bowl a permanent game would eliminate my critique, until then fun game but p2w near the top."
Aditya Goel,3,2025-04-20 03:02:42,"Money sucker! The game is fantastic. It's highly addictive once you get the feel of it. One thing which I found annoying is when you are in battle mode and you get matched against an opponent of higher your level. It's very difficult to beat them since the health of their cards is much more. Ergo, I wish if we get matched according to king tower levels in battle instead of number of trophies. That would be a level playing field. also, gameplay sucks on mobile internet. I hope creators fix it."
